"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL490687";"";"0";"383.85";"1";"5.85";"30, SI,Table 3";"C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ccnc2cc1CC";"IC50";"'='";"7500.0";"nM";"5.12";"";"";"UO_0000065";"13.35";"0.26";"-0.73";"9.49";"0";"CHEMBL944276";"Inhibition of human recombinant EGFR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140899";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL410253";"";"0";"391.52";"0";"3.13";"127, page S27 table 1";"Cc1cccc(Nc2ncnc3ccncc23)c1NCCCN1CCN(C)CC1";"IC50";"'='";"5.623";"nM";"8.25";"";"";"UO_0000065";"21.07";"0.39";"5.12";"11.92";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL53310";"";"0";"252.28";"0";"2.21";"84, page S25 table 1";"CNc1ncc2ncnc(Nc3ccccc3)c2n1";"IC50";"'='";"13.18";"nM";"7.88";"";"";"UO_0000065";"31.24";"0.57";"5.67";"10.42";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL332096";"";"0";"250.31";"0";"2.82";"7";"Nc1ccc2ncnc(NCc3ccccc3)c2c1";"IC50";"'='";"508.0";"nM";"6.29";"";"";"UO_0000065";"25.15";"0.45";"3.47";"9.86";"0";"CHEMBL677833";"In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145114";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL69358";"";"0";"511.99";"1";"4.21";"26p";"CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1";"IC50";"'='";"1.2";"nM";"8.92";"";"";"UO_0000065";"17.42";"0.34";"4.71";"7.75";"0";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL453737";"";"0";"629.66";"2";"5.92";"51";"COc1cc2c(Oc3ccc(-c4cnc(Nc5ccc(F)cc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"9.16";"0.17";"-0.15";"5.77";"0";"CHEMBL970655";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140082";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL128000";"BUTEIN";"0";"272.26";"0";"2.41";"Butein";"O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O";"IC50";"'='";"16000.0";"nM";"4.80";"";"";"UO_0000065";"17.62";"0.33";"2.39";"4.89";"0";"CHEMBL1003093";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156625";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL4106341";"";"0";"244.34";"0";"3.32";"46";"Cc1[nH]c2ncnc(NC3CCCCC3)c2c1C";"IC50";"'='";"6920.0";"nM";"5.16";"";"";"UO_0000065";"21.12";"0.39";"1.84";"9.63";"0";"CHEMBL677880";"In vitro inhibitory activity against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129072";"1";"Scientific Literature";"J. Med. Chem.";"1996";"None";""
"CHEMBL504135";"";"0";"254.25";"0";"0.69";"5";"Nc1ncnc2c1ncn2CC(=O)c1ccccn1";"IC50";"'='";"89000.0";"nM";"4.05";"";"";"UO_0000065";"15.93";"0.29";"3.36";"4.07";"0";"CHEMBL949877";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137681";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2009";"None";""
"CHEMBL402113";"";"0";"373.42";"0";"3.18";"19";"CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2ccccc2)c1";"IC50";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"19.70";"0.36";"4.18";"7.13";"0";"CHEMBL934832";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145585";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL329642";"";"0";"383.25";"0";"4.65";"26";"C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"269.0";"nM";"6.57";"";"";"UO_0000065";"17.14";"0.37";"1.92";"9.82";"0";"CHEMBL680018";"Inhibition of epidermal growth factor receptor using enzyme assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134561";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL119156";"";"0";"341.39";"0";"2.48";"33";"COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccn2)c1O";"IC50";"'='";"3388.44";"nM";"5.47";"";"";"UO_0000065";"16.02";"0.31";"2.99";"5.01";"0";"CHEMBL676067";"Inhibitory activity against epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL119987";"";"0";"384.41";"0";"2.78";"34";"COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O";"IC50";"'='";"707.95";"nM";"6.15";"";"";"UO_0000065";"16.00";"0.31";"3.37";"4.60";"0";"CHEMBL676067";"Inhibitory activity against epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL54471";"";"0";"279.30";"0";"3.20";"46";"Cc1ccc(C(=O)/C(C#N)=C/c2ccc(O)c(O)c2)cc1";"IC50";"'='";"15135.61";"nM";"4.82";"";"";"UO_0000065";"17.26";"0.31";"1.62";"5.93";"0";"CHEMBL676067";"Inhibitory activity against epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL405772";"";"0";"251.29";"0";"2.66";"72, page S25 table 1";"Cc1cccc(Nc2ncnc3ccncc23)c1N";"IC50";"'='";"40.74";"nM";"7.39";"";"";"UO_0000065";"29.41";"0.53";"4.73";"9.63";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL52591";"";"0";"266.31";"0";"2.51";"96, page S26 table 1";"CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1";"IC50";"'='";"4.365";"nM";"8.36";"";"";"UO_0000065";"31.39";"0.57";"5.85";"11.06";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL206029";"";"0";"609.08";"1";"4.23";"8w";"CS(=O)(=O)CCNC(=O)NCc1cccc(C#Cc2cncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)n1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"12.85";"0.25";"3.59";"5.79";"0";"CHEMBL861550";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147004";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL417941";"";"0";"286.33";"0";"2.45";"60";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NC1CCCCC1";"IC50";"'='";"1600.0";"nM";"5.80";"";"";"UO_0000065";"20.24";"0.38";"3.35";"6.21";"0";"CHEMBL763200";"Inhibition of polyGAT phosphorylation";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL141238";"";"0";"322.36";"0";"3.57";"42";"Cc1cc(C)c(NC(=O)/C(C#N)=C/c2ccc(O)c(O)c2)c(C)c1";"IC50";"'='";"19054.61";"nM";"4.72";"";"";"UO_0000065";"14.64";"0.27";"1.15";"5.06";"0";"CHEMBL676067";"Inhibitory activity against epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL165630";"";"0";"447.34";"0";"2.23";"5q";"OCCN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1";"IC50";"'='";"0.93";"nM";"9.03";"";"";"UO_0000065";"20.19";"0.44";"6.80";"8.49";"0";"CHEMBL674648";"Inhibit of phosphorylation of a tyrosine/glutamic acid copolymer by epidermal growth factor receptor prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131301";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL131715";"";"0";"605.09";"2";"6.56";"26";"CO[C@H]1[C@@H](N(C)C(=O)c2ccc(Cl)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"7000.0";"nM";"5.16";"";"";"UO_0000065";"8.52";"0.16";"-1.41";"6.63";"0";"CHEMBL677890";"Inhibitory activity against protein tyrosine kinase of Epidermal growth factor receptor was determined";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127758";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1994";"None";""
"CHEMBL270921";"";"0";"358.20";"0";"3.49";"54, page S24 table 1";"CC(=O)Nc1c(Br)cccc1Nc1ncnc2ccncc12";"IC50";"'='";"29.51";"nM";"7.53";"";"";"UO_0000065";"21.02";"0.47";"4.04";"9.44";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL298679";"";"0";"595.54";"2";"5.70";"15";"COc1ccc(NC(=O)Nc2nc3nc(NCCCN4CCN(C)CC4)ncc3cc2-c2c(Cl)cccc2Cl)cc1";"IC50";"'='";"720.0";"nM";"6.14";"";"";"UO_0000065";"10.31";"0.20";"0.44";"5.71";"0";"CHEMBL683042";"Inhibition of human epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131506";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL1202061";"";"0";"532.41";"0";"2.52";"164";"CCOC(=O)C(=O)Oc1ccc(-c2c(C(=O)OCC)oc3cc(O)cc(O)c3c2=O)cc1.O=C(O)C(=O)O";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"13.56";"0.26";"3.48";"4.01";"0";"CHEMBL941412";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150213";"1";"Scientific Literature";"J. Nat. Prod.";"1992";"None";""
"CHEMBL55748";"";"0";"211.18";"0";"1.15";"18";"N#CC(C#N)=C1C(=O)Nc2ccc(O)cc21";"IC50";"'='";"12500.0";"nM";"4.90";"";"";"UO_0000065";"23.22";"0.42";"3.75";"5.06";"0";"CHEMBL763200";"Inhibition of polyGAT phosphorylation";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL287022";"";"0";"379.78";"0";"4.00";"11";"CC#CC(=O)Nc1cnc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1";"IC50";"'='";"3762.4";"nM";"5.42";"";"";"UO_0000065";"14.28";"0.27";"1.42";"5.98";"0";"CHEMBL677385";"Inhibition of peptide substrate phosphorylation by epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1147619";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL76905";"";"0";"186.17";"0";"1.53";"22";"N#CC(C#N)=Cc1cc(O)cc(O)c1";"IC50";"'='";"37000.0";"nM";"4.43";"";"";"UO_0000065";"23.81";"0.43";"2.90";"5.03";"0";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None";""
"CHEMBL428690";"ALVOCIDIB";"3";"401.85";"0";"3.30";"Flavopiridol";"CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1";"IC50";"'='";"7600.0";"nM";"5.12";"";"";"UO_0000065";"12.74";"0.25";"1.82";"5.44";"0";"CHEMBL677888";"Inhibition of Epidermal growth factor receptor (Her1/ErbB1)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135763";"1";"Scientific Literature";"J. Med. Chem.";"2002";"None";""
"CHEMBL188304";"";"0";"276.70";"0";"3.57";"4";"Cc1ccn2ncnc(Nc3ccc(F)c(Cl)c3)c12";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"25.30";"0.50";"3.43";"16.58";"0";"CHEMBL903494";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139130";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL57347";"";"0";"545.52";"1";"4.97";"47";"CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"12.51";"0.25";"1.85";"6.94";"0";"CHEMBL677382";"Inhibition of epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134497";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL543904";"";"0";"407.85";"0";"3.42";"10";"COc1cc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2cc1OC.Cl";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"16.97";"0.32";"2.88";"7.50";"0";"CHEMBL676160";"Inhibition of Epidermal growth factor receptor autophosphorylation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129839";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1997";"None";""
"CHEMBL606413";"";"0";"575.10";"2";"5.81";"4, AL194";"CN(C)c1cccc2c(S(=O)(=O)NCCN/N=N/c3ccc4ncnc(Nc5cccc(Cl)c5)c4c3)cccc12";"IC50";"'='";"1400.0";"nM";"5.85";"";"";"UO_0000065";"10.18";"0.20";"0.04";"4.72";"0";"CHEMBL1072146";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157582";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL431996";"";"0";"380.40";"0";"3.10";"9d";"O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2";"IC50";"'='";"56500.0";"nM";"4.25";"";"";"UO_0000065";"11.17";"0.21";"1.15";"3.56";"0";"CHEMBL679949";"Evaluated for inhibitory activity towards tyrosine kinase Epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1133768";"1";"Scientific Literature";"J. Med. Chem.";"2000";"None";""
"CHEMBL153170";"";"0";"340.18";"0";"4.01";"8a";"Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1";"IC50";"'='";"29.0";"nM";"7.54";"";"";"UO_0000065";"22.16";"0.49";"3.53";"11.34";"0";"CHEMBL679944";"Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132555";"1";"Scientific Literature";"J. Med. Chem.";"1999";"None";""
"CHEMBL324926";"";"0";"457.32";"1";"5.06";"54";"COc1cc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc(OC)c1";"IC50";"'='";"330.0";"nM";"6.48";"";"";"UO_0000065";"14.17";"0.29";"1.42";"8.28";"0";"CHEMBL680019";"Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131066";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL166766";"";"0";"264.33";"0";"3.41";"13f";"Nc1ncnc2c1c(-c1ccccc1)cn2C1CCC1";"IC50";"'='";"730.0";"nM";"6.14";"";"";"UO_0000065";"23.22";"0.42";"2.73";"10.82";"0";"CHEMBL674693";"Inhibition of Epidermal growth factor receptor (EGF-R) tyrosine kinase activity ";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134829";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2001";"None";""
"CHEMBL329672";"";"0";"255.71";"0";"4.03";"2";"Clc1cccc(Nc2ncnc3ccccc23)c1";"IC50";"'='";"23.0";"nM";"7.64";"";"";"UO_0000065";"29.87";"0.58";"3.61";"20.20";"1";"CHEMBL679944";"Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132555";"1";"Scientific Literature";"J. Med. Chem.";"1999";"None";""
"CHEMBL29197";"";"0";"360.21";"0";"4.15";"PD153035";"COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC";"IC50";"'='";"0.025";"nM";"10.60";"Potential transcription error";"";"UO_0000065";"";"";"";"";"1";"CHEMBL679944";"Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132555";"1";"Scientific Literature";"J. Med. Chem.";"1999";"None";""
"CHEMBL424252";"";"0";"481.96";"1";"5.49";"40";"CCN(CC)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OC";"IC50";"'='";"1910.0";"nM";"5.72";"";"";"UO_0000065";"11.87";"0.23";"0.23";"6.33";"1";"CHEMBL680028";"Inhibition of autophosphorylation of cytoplasmic domain of epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145020";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL267019";"";"0";"361.36";"0";"3.47";"7";"O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21";"IC50";"'='";"2500.0";"nM";"5.60";"";"";"UO_0000065";"15.50";"0.28";"2.13";"5.06";"0";"CHEMBL679549";"Inhibitory activity against recombinant tyrosine kinase EGF-R (EGF-R ICD)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127678";"1";"Scientific Literature";"J. Med. Chem.";"1994";"None";""
"CHEMBL340700";"";"0";"404.27";"0";"2.32";"3g";"CN(CC(O)CO)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1";"IC50";"'='";"3.2";"nM";"8.49";"";"";"UO_0000065";"21.01";"0.46";"6.17";"9.00";"1";"CHEMBL677387";"Inhibition of phosphorylation of polyglutamic acid/tyrosine random copolymer by epidermal growth factor receptor.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130246";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL111038";"";"0";"384.23";"0";"4.63";"2";"COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OC";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"17.49";"0.38";"2.09";"10.01";"1";"CHEMBL680028";"Inhibition of autophosphorylation of cytoplasmic domain of epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145020";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL168285";"";"0";"294.36";"0";"2.77";"13l";"Nc1ncnc2c1c(-c1ccccc1)cn2C1CCC(O)C1";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"20.73";"0.38";"3.33";"7.93";"0";"CHEMBL674693";"Inhibition of Epidermal growth factor receptor (EGF-R) tyrosine kinase activity ";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134829";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2001";"None";""
